"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"21331"	"XCR1"	1.91807662175574	1.54368409980448	23.4368910820865	1.29079295398112e-06	8.63886796518093e-05
"1867"	"FGR"	1.54729926789162	8.39179355891153	23.3997462428709	1.31595895539584e-06	8.76454216894708e-05
"2878"	"LOC507055"	2.07623652684053	8.03029606991803	23.3846246490674	1.32634439378601e-06	8.79103627185706e-05
"18546"	"SSH2"	1.2836875454707	8.81440110900532	23.3175700064219	1.37339672094886e-06	9.05913606318193e-05
"8735"	"PTK2B"	1.62207124800018	8.42707768467239	23.2701565134445	1.40767383246589e-06	9.19262370757225e-05
"345"	"DTX3L"	1.69463532065761	7.03522496765386	23.2623588468058	1.41339267450806e-06	9.19262370757225e-05
"6626"	"TAPT1"	0.955455746910453	6.37944379597233	23.2618938995711	1.4137344040071e-06	9.19262370757225e-05
"14396"	"SORL1"	1.5513798626993	9.09780034955271	23.2463915755641	1.42517595654309e-06	9.22330854894865e-05
"18414"	"LOC504773"	1.31142487852225	4.20006623863486	23.2184390987687	1.44604161755113e-06	9.2713010055235e-05
"26771"	"IL3RA"	2.69353894128386	3.62142404618779	23.2183525240069	1.44610671660498e-06	9.2713010055235e-05
"16535"	"OAS1X"	2.28340531701631	5.25772386316963	23.1634874799891	1.48795882903478e-06	9.49525355086378e-05
"2751"	"SARS"	1.72041565636415	9.27905691779951	23.1288409661876	1.51501151073824e-06	9.62312867005957e-05
"12070"	"LOC539110"	1.88358284624787	4.97025111666772	23.0913484171983	1.54484251098977e-06	9.76739135980631e-05
"21181"	"PARP3"	1.86222211964268	3.80382369022608	23.0488465661795	1.57937231419786e-06	9.93990282146545e-05
"21329"	"LOC529196"	2.14826928554585	4.78817649749072	23.0101601235963	1.61147496249394e-06	0.000100956330983638
"7355"	"IRF1"	1.70771837316943	9.63162500041184	22.9410818763868	1.67043376107515e-06	0.000104174323645232
"13212"	"LOC618409"	2.18497693405449	3.84747544482264	22.9278146590667	1.68200272499526e-06	0.000104421164646764
"23576"	"FAS"	1.71237149504601	7.07135782175668	22.9066249044143	1.70064703018886e-06	0.00010450248854631
"1340"	"TNFAIP6"	2.5798876914986	2.29691857090337	22.8921052014262	1.71354208462652e-06	0.00010450248854631
"2871"	"GBP2"	2.25872099829224	7.73480796596859	22.8869297031201	1.7181621539168e-06	0.00010450248854631
"18025"	"MGC157082"	1.57354185205674	6.28171984197442	22.8776048597975	1.72651782441223e-06	0.00010450248854631
"9275"	"LOC104969545"	1.74283360516469	3.06296773143265	22.876775828246	1.72726266103425e-06	0.00010450248854631
"16947"	"KIAA0513"	1.33381717242098	7.43521063029345	22.8711686948045	1.73230881330919e-06	0.00010450248854631
"17923"	"LOC789748"	1.89893641624081	5.92557874692961	22.8663798222425	1.73663027613402e-06	0.00010450248854631
"20400"	"SEMA7A"	1.21103935025078	5.44990849413386	22.852279437864	1.74941731239139e-06	0.000104812251205283
"22310"	"PQLC1"	1.83408793545002	5.54011386529965	22.8318085841522	1.76814972764732e-06	0.000105265441625834
"18665"	"SLC13A5"	1.27022352447307	7.55017237849949	22.8272740601403	1.77232631308802e-06	0.000105265441625834
"12049"	"LOC786073"	1.99408882066573	9.21880469462032	22.8059898213534	1.79206307886226e-06	0.000105605027476652
"1992"	"RAP1GAP"	2.12899003038305	4.69197459164494	22.8045157113767	1.79343814883819e-06	0.000105605027476652
"2865"	"LOC786372"	1.83333348932614	7.7941851737399	22.7886513725902	1.80830377423258e-06	0.000106025332403722
"21279"	"PFKFB4"	1.52793516873444	6.14328931471793	22.7757727861136	1.82046246025963e-06	0.000106284021084094
"6618"	"FBXL5"	1.50993632271176	8.24425921869132	22.758650316504	1.83675488885716e-06	0.000106780835064069
